"PrevLength","MatchScore","TileSize","PrevType","BrowseTime"
0.1,60,30,"TT",20.6768494001544
0.1,60,30,"TT",20.0928989847284
0.1,60,30,"TT",21.6837813201737
0.1,60,30,"TT",20.3570029710305
0.1,60,30,"TT",21.871196346014
0.1,60,30,"TT",19.9614162057064
0.1,60,30,"TT",20.2711893796183
0.1,60,30,"TT",18.438420988981
0.1,60,30,"TT",21.2129326485816
0.1,60,30,"TT",21.1167660873238
0.1,60,30,"TT",20.0506344171439
0.1,60,30,"TT",20.7947498061701
0.1,60,30,"TT",22.1862913483833
0.1,60,30,"TT",20.9707718090019
0.1,60,30,"TT",20.2072186637541
0.1,60,30,"TT",20.4836788326615
0.1,60,30,"TT",20.5767808040691
0.1,60,30,"TT",21.0117129164202
0.1,60,30,"TT",20.1049962924652
0.1,60,30,"TT",19.4697327403151
0.1,60,30,"TT",20.1464860073055
0.1,60,30,"TT",20.639372340127
0.1,60,30,"TT",20.9253281619442
0.1,60,30,"TT",22.1919212841198
0.1,60,30,"TT",22.1538073537415
0.1,60,30,"TT",20.1976765128974
0.1,60,30,"TT",21.8300835435969
0.1,60,30,"TT",20.6122091776687
0.1,60,30,"TT",18.9620337499402
0.1,60,30,"TT",19.7189459841447
0.1,60,30,"TT",20.9532766566287
0.1,60,30,"TT",21.1753587055068
0.1,60,30,"TT",21.8137515102198
0.1,60,30,"TT",19.3730691635531
0.1,60,30,"TT",20.3044984874575
0.1,60,30,"TT",21.3599895778678
0.1,60,30,"AC",24.6006270673678
0.1,60,30,"AC",25.7291664106561
0.1,60,30,"AC",25.5006711132258
0.1,60,30,"AC",23.9971152395792
0.1,60,30,"AC",24.4079416478462
0.1,60,30,"AC",25.7232503741068
0.1,60,30,"AC",24.6799188357119
0.1,60,30,"AC",25.391103565793
0.1,60,30,"AC",26.5541321841069
0.1,60,30,"AC",24.4697882608225
0.1,60,30,"AC",25.4392137179796
0.1,60,30,"AC",26.0296534890175
0.1,60,30,"AC",24.8338626986768
0.1,60,30,"AC",25.9706959806322
0.1,60,30,"AC",25.1080821294423
0.1,60,30,"AC",23.8286734087205
0.1,60,30,"AC",25.7983568032985
0.1,60,30,"AC",26.1999523101808
0.1,60,30,"AC",26.6807686094566
0.1,60,30,"AC",27.2411541388278
0.1,60,30,"AC",28.0026817685965
0.1,60,30,"AC",24.8176019137422
0.1,60,30,"AC",25.7241568414987
0.1,60,30,"AC",24.8425275899787
0.1,60,30,"AC",25.4388515714072
0.1,60,30,"AC",23.3129304270575
0.1,60,30,"AC",25.0128983571329
0.1,60,30,"AC",24.3143203665492
0.1,60,30,"AC",26.3390218976568
0.1,60,30,"AC",26.2281866926786
0.1,60,30,"AC",26.1172955888584
0.1,60,30,"AC",26.0415978586872
0.1,60,30,"AC",25.9730675641686
0.1,60,30,"AC",27.6562641527828
0.1,60,30,"AC",25.113555931172
0.1,60,30,"AC",24.8131519764639
0.1,60,45,"TT",16.7766118387255
0.1,60,45,"TT",17.067160607306
0.1,60,45,"TT",17.5179514442875
0.1,60,45,"TT",17.1568618682166
0.1,60,45,"TT",16.3993333147603
0.1,60,45,"TT",18.3553702380021
0.1,60,45,"TT",18.7537968232811
0.1,60,45,"TT",17.3112174957247
0.1,60,45,"TT",16.8556495046299
0.1,60,45,"TT",17.9481669449633
0.1,60,45,"TT",16.8552330183286
0.1,60,45,"TT",18.5905395458111
0.1,60,45,"TT",18.0158841559809
0.1,60,45,"TT",16.8589033468024
0.1,60,45,"TT",18.8167859069341
0.1,60,45,"TT",17.3921097380256
0.1,60,45,"TT",19.461758169317
0.1,60,45,"TT",18.6757005972986
0.1,60,45,"TT",17.6919873032166
0.1,60,45,"TT",17.1194436138265
0.1,60,45,"TT",17.7141911278993
0.1,60,45,"TT",17.7892322000555
0.1,60,45,"TT",17.9825363653885
0.1,60,45,"TT",18.2415213567077
0.1,60,45,"TT",17.2269356110868
0.1,60,45,"TT",18.7290951374106
0.1,60,45,"TT",18.551485243116
0.1,60,45,"TT",17.2509032029366
0.1,60,45,"TT",17.1547972497058
0.1,60,45,"TT",17.0784119138735
0.1,60,45,"TT",19.9564425284256
0.1,60,45,"TT",17.4986417861842
0.1,60,45,"TT",17.307640327395
0.1,60,45,"TT",15.5049180933819
0.1,60,45,"TT",18.8063414781181
0.1,60,45,"TT",16.8865029266518
0.1,60,45,"AC",22.6457418908897
0.1,60,45,"AC",22.8671473620876
0.1,60,45,"AC",23.2295212822017
0.1,60,45,"AC",23.0096630978548
0.1,60,45,"AC",22.5041359040541
0.1,60,45,"AC",23.1730481764082
0.1,60,45,"AC",20.9125597556378
0.1,60,45,"AC",20.9741727097428
0.1,60,45,"AC",21.5974075326911
0.1,60,45,"AC",23.1525890379277
0.1,60,45,"AC",22.6907546246707
0.1,60,45,"AC",22.4500594776314
0.1,60,45,"AC",21.9522579206411
0.1,60,45,"AC",20.3263175548617
0.1,60,45,"AC",22.313282435481
0.1,60,45,"AC",23.3203280087195
0.1,60,45,"AC",23.4371934001741
0.1,60,45,"AC",22.920342424949
0.1,60,45,"AC",22.7636518615357
0.1,60,45,"AC",22.1744347313919
0.1,60,45,"AC",23.4537071190821
0.1,60,45,"AC",21.9632854506138
0.1,60,45,"AC",21.8008307886534
0.1,60,45,"AC",24.0634708795787
0.1,60,45,"AC",24.0063246714059
0.1,60,45,"AC",22.711035524791
0.1,60,45,"AC",21.9255212102
0.1,60,45,"AC",21.6762103391707
0.1,60,45,"AC",23.3012382151089
0.1,60,45,"AC",21.4940109539
0.1,60,45,"AC",22.1116625879729
0.1,60,45,"AC",22.8943820847104
0.1,60,45,"AC",23.5795977251084
0.1,60,45,"AC",22.9684078821783
0.1,60,45,"AC",21.8625251049416
0.1,60,45,"AC",22.2874939552541
0.1,60,60,"TT",13.762279561345
0.1,60,60,"TT",14.4519267398007
0.1,60,60,"TT",15.6069616080099
0.1,60,60,"TT",17.1081015790339
0.1,60,60,"TT",14.2754252805239
0.1,60,60,"TT",16.4458589496358
0.1,60,60,"TT",13.683360922057
0.1,60,60,"TT",14.1753956554268
0.1,60,60,"TT",14.6756157401923
0.1,60,60,"TT",14.7254035256794
0.1,60,60,"TT",13.9224198079086
0.1,60,60,"TT",14.6442174490617
0.1,60,60,"TT",15.7344402605923
0.1,60,60,"TT",16.0005399535364
0.1,60,60,"TT",14.7607501557513
0.1,60,60,"TT",15.6007790818323
0.1,60,60,"TT",16.2846932619637
0.1,60,60,"TT",15.721773927015
0.1,60,60,"TT",13.041137314543
0.1,60,60,"TT",16.268968079294
0.1,60,60,"TT",15.8315506243139
0.1,60,60,"TT",16.6245450093456
0.1,60,60,"TT",15.3851687969882
0.1,60,60,"TT",15.238845499603
0.1,60,60,"TT",14.732298566233
0.1,60,60,"TT",15.2080275717931
0.1,60,60,"TT",14.2468387882857
0.1,60,60,"TT",14.6277419192259
0.1,60,60,"TT",16.1447095121717
0.1,60,60,"TT",16.6304795388951
0.1,60,60,"TT",15.8313162885199
0.1,60,60,"TT",14.6924752348672
0.1,60,60,"TT",15.9018636960177
0.1,60,60,"TT",16.8475155077969
0.1,60,60,"TT",12.3721916402174
0.1,60,60,"TT",14.8610276634533
0.1,60,60,"AC",21.8916842523543
0.1,60,60,"AC",20.839109990025
0.1,60,60,"AC",20.9664619721061
0.1,60,60,"AC",20.8460136989483
0.1,60,60,"AC",22.1191922538923
0.1,60,60,"AC",19.0857140053685
0.1,60,60,"AC",19.9494294167443
0.1,60,60,"AC",20.8086712583878
0.1,60,60,"AC",20.4575545316826
0.1,60,60,"AC",20.0037276705265
0.1,60,60,"AC",21.8152926061737
0.1,60,60,"AC",21.3404333630926
0.1,60,60,"AC",19.1077775239218
0.1,60,60,"AC",19.7217842713372
0.1,60,60,"AC",19.7305407046682
0.1,60,60,"AC",20.1209517390045
0.1,60,60,"AC",19.9042353643478
0.1,60,60,"AC",18.5437928153068
0.1,60,60,"AC",19.314041534873
0.1,60,60,"AC",20.9122600000627
0.1,60,60,"AC",20.066892607409
0.1,60,60,"AC",18.389010109036
0.1,60,60,"AC",21.2432060588719
0.1,60,60,"AC",20.0239629712672
0.1,60,60,"AC",21.2685644974957
0.1,60,60,"AC",21.6357663812027
0.1,60,60,"AC",21.131385800344
0.1,60,60,"AC",20.2891377178679
0.1,60,60,"AC",19.8874966098847
0.1,60,60,"AC",20.3669021352194
0.1,60,60,"AC",20.7699720194265
0.1,60,60,"AC",20.9719007275171
0.1,60,60,"AC",20.9285085653438
0.1,60,60,"AC",21.4905487626933
0.1,60,60,"AC",19.4866285419753
0.1,60,60,"AC",20.3746156186219
0.1,60,75,"TT",16.0958372639043
0.1,60,75,"TT",17.0391958989962
0.1,60,75,"TT",14.1433256499972
0.1,60,75,"TT",17.4382928808054
0.1,60,75,"TT",15.4208726900399
0.1,60,75,"TT",16.9195131627611
0.1,60,75,"TT",15.4987794617034
0.1,60,75,"TT",15.6123413213289
0.1,60,75,"TT",17.0500892828085
0.1,60,75,"TT",16.9943126153084
0.1,60,75,"TT",15.9959225905901
0.1,60,75,"TT",15.9114877619383
0.1,60,75,"TT",16.1902747886993
0.1,60,75,"TT",18.7254544088475
0.1,60,75,"TT",15.7663848506302
0.1,60,75,"TT",15.4406431117346
0.1,60,75,"TT",17.5174552487442
0.1,60,75,"TT",16.6510255239237
0.1,60,75,"TT",16.2197721474047
0.1,60,75,"TT",15.3209320500361
0.1,60,75,"TT",16.0624416154724
0.1,60,75,"TT",16.8822407919155
0.1,60,75,"TT",16.6858243176813
0.1,60,75,"TT",17.3117263553901
0.1,60,75,"TT",16.1517432399333
0.1,60,75,"TT",17.1082107686518
0.1,60,75,"TT",16.7528873225241
0.1,60,75,"TT",18.3097758215309
0.1,60,75,"TT",16.9050702679213
0.1,60,75,"TT",16.9494275324705
0.1,60,75,"TT",15.0899512093001
0.1,60,75,"TT",15.9890802321025
0.1,60,75,"TT",14.6116771081269
0.1,60,75,"TT",14.7069641923818
0.1,60,75,"TT",16.2235259194631
0.1,60,75,"TT",16.8513697734774
0.1,60,75,"AC",21.5569327184131
0.1,60,75,"AC",22.6237045470469
0.1,60,75,"AC",21.9599306788022
0.1,60,75,"AC",21.9582530217169
0.1,60,75,"AC",20.265069080335
0.1,60,75,"AC",20.9413994216323
0.1,60,75,"AC",22.1901990406873
0.1,60,75,"AC",19.9399579501591
0.1,60,75,"AC",20.1908834161107
0.1,60,75,"AC",21.9228766233281
